home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arizona,colorado,-890.0,590.0,11.5,0.8612,0.1388,sbro,2014-03-14
cincinnati,connecticut,100.0,-120.0,0.0,0.4783,0.5217,sbro,2014-03-14
creighton,xavier,-280.0,230.0,6.5,0.7086,0.2914,sbro,2014-03-14
texas,baylor,105.0,-125.0,138.5,0.4675,0.5325,sbro,2014-03-14
ucla,stanford,-180.0,155.0,4.0,0.6211,0.3789,sbro,2014-03-14
arizona,ucla,-220.0,185.0,5.0,0.6621,0.3379,sbro,2014-03-15
creighton,providence,-370.0,300.0,8.0,0.759,0.241,sbro,2014-03-15
florida,tennessee,-280.0,230.0,6.0,0.7086,0.2914,sbro,2014-03-15
louisville,connecticut,-395.0,315.0,8.0,0.7681,0.2319,sbro,2014-03-15
virginia,pittsburgh,-170.0,150.0,3.0,0.6115,0.3885,sbro,2014-03-15
florida,kentucky,-325.0,265.0,6.5,0.7362,0.2638,sbro,2014-03-16
virginia,duke,100.0,-120.0,127.0,0.4783,0.5217,sbro,2014-03-16
tennessee,iowa,105.0,-125.0,144.0,0.4675,0.5325,sbro,2014-03-19
cincinnati,harvard,-155.0,135.0,3.0,0.5882,0.4118,sbro,2014-03-20
colorado,pittsburgh,255.0,-315.0,126.5,0.2707,0.7293,sbro,2014-03-20
louisville,manhattan,-2295.0,1195.0,16.5,0.9254,0.0746,sbro,2014-03-20
michigan,wofford,-1560.0,1010.0,15.0,0.9125,0.0875,sbro,2014-03-20
oregon,brigham_young,-210.0,180.0,5.0,0.6548,0.3452,sbro,2014-03-20
wisconsin,american,-1365.0,915.0,14.0,0.9044,0.0956,sbro,2014-03-20
baylor,nebraska,-175.0,155.0,3.5,0.6187,0.3813,sbro,2014-03-21
duke,mercer,-1200.0,850.0,13.0,0.8976,0.1024,sbro,2014-03-21
ucla,tulsa,-430.0,340.0,8.0,0.7812,0.2188,sbro,2014-03-21
florida,pittsburgh,-280.0,230.0,5.5,0.7086,0.2914,sbro,2014-03-22
michigan,texas,-235.0,200.0,5.5,0.6779,0.3221,sbro,2014-03-22
syracuse,dayton,-435.0,345.0,8.5,0.7835,0.2165,sbro,2014-03-22
villanova,connecticut,-195.0,170.0,4.5,0.6409,0.3591,sbro,2014-03-22
wisconsin,oregon,-275.0,225.0,6.0,0.7044,0.2956,sbro,2014-03-22
arizona,gonzaga,-400.0,320.0,7.5,0.7706,0.2294,sbro,2014-03-23
creighton,baylor,-190.0,165.0,4.0,0.6345,0.3655,sbro,2014-03-23
kansas,stanford,-330.0,270.0,6.5,0.7396,0.2604,sbro,2014-03-23
tennessee,mercer,-440.0,350.0,8.5,0.7857,0.2143,sbro,2014-03-23
