home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arkansas,vermont,-220.0,190.0,5.0,0.666,0.334,sbro,2022-03-17
iowa,richmond,-500.0,400.0,9.5,0.8065,0.1935,sbro,2022-03-17
kentucky,saint_peter_s,-5000.0,1500.0,18.5,0.9401,0.0599,sbro,2022-03-17
tennessee,longwood,-3000.0,1200.0,18.0,0.9264,0.0736,sbro,2022-03-17
ucla,akron,-1400.0,800.0,13.5,0.8936,0.1064,sbro,2022-03-17
illinois,chattanooga,-360.0,300.0,8.0,0.7579,0.2421,sbro,2022-03-18
purdue,yale,-2500.0,1100.0,16.5,0.9202,0.0798,sbro,2022-03-18
villanova,delaware,-2000.0,1000.0,14.5,0.9129,0.0871,sbro,2022-03-18
wisconsin,colgate,-340.0,280.0,7.5,0.746,0.254,sbro,2022-03-18
kansas,creighton,-900.0,600.0,13.0,0.863,0.137,sbro,2022-03-19
providence,richmond,-170.0,150.0,3.5,0.6115,0.3885,sbro,2022-03-19
tennessee,michigan,-300.0,250.0,7.0,0.7241,0.2759,sbro,2022-03-19
arizona,tcu,-550.0,425.0,10.0,0.8163,0.1837,sbro,2022-03-20
purdue,texas,-160.0,140.0,3.5,0.5963,0.4037,sbro,2022-03-20
gonzaga,arkansas,-390.0,305.0,9.5,0.7632,0.2368,sbro,2022-03-24
villanova,michigan,-200.0,170.0,4.5,0.6429,0.3571,sbro,2022-03-24
kansas,providence,-370.0,295.0,6.5,0.7567,0.2433,sbro,2022-03-25
purdue,saint_peter_s,-910.0,655.0,12.5,0.8718,0.1282,sbro,2022-03-25
