home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arizona,colorado,-230.0,195.0,5.0,0.6728,0.3272,sbro,2013-03-14
georgetown,cincinnati,-185.0,165.0,4.0,0.6324,0.3676,sbro,2013-03-14
louisville,villanova,-600.0,475.0,10.5,0.8313,0.1687,sbro,2013-03-14
pittsburgh,syracuse,-130.0,110.0,2.0,0.5427,0.4573,sbro,2013-03-14
georgetown,syracuse,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2013-03-15
mississippi,missouri,175.0,-200.0,154.0,0.3529,0.6471,sbro,2013-03-15
ucla,arizona,155.0,-175.0,143.0,0.3813,0.6187,sbro,2013-03-15
wisconsin,michigan,125.0,-145.0,125.0,0.4289,0.5711,sbro,2013-03-15
louisville,syracuse,-255.0,215.0,5.5,0.6935,0.3065,sbro,2013-03-16
ucla,oregon,120.0,-140.0,136.5,0.438,0.562,sbro,2013-03-16
florida,mississippi,-800.0,550.0,11.5,0.8525,0.1475,sbro,2013-03-17
arizona,belmont,-200.0,175.0,4.5,0.6471,0.3529,sbro,2013-03-21
butler,bucknell,-170.0,150.0,3.0,0.6115,0.3885,sbro,2013-03-21
gonzaga,southern,-7990.0,3990.0,22.5,0.9758,0.0242,sbro,2013-03-21
marquette,davidson,-180.0,160.0,3.0,0.6257,0.3743,sbro,2013-03-21
nevada_las_vegas,california,-185.0,165.0,3.5,0.6324,0.3676,sbro,2013-03-21
syracuse,montana,-1190.0,790.0,13.0,0.8914,0.1086,sbro,2013-03-21
creighton,cincinnati,-170.0,150.0,3.0,0.6115,0.3885,sbro,2013-03-22
illinois,colorado,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2013-03-22
wisconsin,mississippi,-295.0,255.0,6.5,0.7261,0.2739,sbro,2013-03-22
arizona,harvard,-635.0,510.0,10.5,0.8405,0.1595,sbro,2013-03-23
marquette,butler,-130.0,110.0,1.5,0.5427,0.4573,sbro,2013-03-23
syracuse,california,-390.0,320.0,8.0,0.7697,0.2303,sbro,2013-03-23
duke,creighton,-285.0,245.0,6.0,0.7186,0.2814,sbro,2013-03-24
