home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
michigan,tulsa,-135.0,115.0,2.0,0.5526,0.4474,sbro,2016-03-16
baylor,yale,-250.0,210.0,5.5,0.6889,0.3111,sbro,2016-03-17
colorado,connecticut,150.0,-170.0,131.0,0.3885,0.6115,sbro,2016-03-17
southern_california,providence,120.0,-140.0,150.0,0.438,0.562,sbro,2016-03-17
virginia,hampton,-13500.0,5500.0,23.0,0.9823,0.0177,sbro,2016-03-17
california,hawaii,-260.0,210.0,6.0,0.6913,0.3087,sbro,2016-03-18
dayton,syracuse,-105.0,-115.0,128.5,0.4892,0.5108,sbro,2016-03-18
iowa,temple,-382.0,305.0,7.0,0.7625,0.2375,sbro,2016-03-18
wisconsin,pittsburgh,101.0,-121.0,130.0,0.4761,0.5239,sbro,2016-03-18
duke,yale,-270.0,230.0,6.0,0.7066,0.2934,sbro,2016-03-19
kansas,connecticut,-370.0,310.0,7.5,0.7635,0.2365,sbro,2016-03-19
virginia,butler,-420.0,350.0,8.5,0.7842,0.2158,sbro,2016-03-19
maryland,hawaii,-360.0,295.0,7.5,0.7556,0.2444,sbro,2016-03-20
villanova,iowa,-290.0,230.0,6.0,0.7105,0.2895,sbro,2016-03-20
xavier,wisconsin,-230.0,190.0,4.5,0.669,0.331,sbro,2016-03-20
kansas,maryland,-275.0,225.0,5.5,0.7044,0.2956,sbro,2016-03-24
oregon,duke,-172.0,152.0,3.5,0.6144,0.3856,sbro,2016-03-24
syracuse,gonzaga,175.0,-200.0,135.5,0.3529,0.6471,sbro,2016-03-25
