home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
alabama,louisiana_state,-260.0,220.0,5.5,0.698,0.302,sbro,2021-03-14
arkansas,colgate,-410.0,340.0,8.5,0.7796,0.2204,sbro,2021-03-19
baylor,hartford,-10000.0,2500.0,25.5,0.9626,0.0374,sbro,2021-03-19
clemson,rutgers,130.0,-150.0,125.0,0.4202,0.5798,sbro,2021-03-19
illinois,drexel,-5000.0,1500.0,22.5,0.9401,0.0599,sbro,2021-03-19
villanova,winthrop,-250.0,210.0,6.5,0.6889,0.3111,sbro,2021-03-19
alabama,iona,-2000.0,1000.0,16.5,0.9129,0.0871,sbro,2021-03-20
brigham_young,ucla,-170.0,150.0,3.5,0.6115,0.3885,sbro,2021-03-20
colorado,georgetown,-240.0,200.0,6.0,0.6792,0.3208,sbro,2021-03-20
connecticut,maryland,-175.0,155.0,3.5,0.6187,0.3813,sbro,2021-03-20
louisiana_state,st_bonaventure,-125.0,105.0,2.0,0.5325,0.4675,sbro,2021-03-20
oklahoma,missouri,105.0,-125.0,139.0,0.4675,0.5325,sbro,2021-03-20
southern_california,drake,-340.0,280.0,7.5,0.746,0.254,sbro,2021-03-20
virginia,ohio,-310.0,260.0,6.5,0.7313,0.2687,sbro,2021-03-20
baylor,wisconsin,-330.0,270.0,6.5,0.7396,0.2604,sbro,2021-03-21
alabama,maryland,-280.0,240.0,6.5,0.7147,0.2853,sbro,2021-03-22
creighton,ohio,-230.0,195.0,5.5,0.6728,0.3272,sbro,2021-03-22
gonzaga,oklahoma,-1800.0,950.0,15.5,0.9087,0.0913,sbro,2021-03-22
iowa,oregon,-215.0,185.0,4.5,0.6605,0.3395,sbro,2021-03-22
kansas,southern_california,105.0,-125.0,135.0,0.4675,0.5325,sbro,2021-03-22
michigan,louisiana_state,-185.0,165.0,4.5,0.6324,0.3676,sbro,2021-03-22
