home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
providence,southern_california,115.0,-135.0,141.5,0.4474,0.5526,sbro,2017-03-15
butler,winthrop,-700.0,500.0,10.5,0.84,0.16,sbro,2017-03-16
maryland,xavier,-130.0,110.0,2.0,0.5427,0.4573,sbro,2017-03-16
northwestern,vanderbilt,115.0,-135.0,130.0,0.4474,0.5526,sbro,2017-03-16
purdue,vermont,-410.0,340.0,9.0,0.7796,0.2204,sbro,2017-03-16
duke,troy,-10000.0,2400.0,19.5,0.9612,0.0388,sbro,2017-03-17
oregon,iona,-2000.0,1000.0,15.5,0.9129,0.0871,sbro,2017-03-17
southern_methodist,southern_california,-320.0,260.0,7.5,0.7328,0.2672,sbro,2017-03-17
florida,virginia,-125.0,105.0,1.5,0.5325,0.4675,sbro,2017-03-18
gonzaga,northwestern,-750.0,525.0,10.5,0.8465,0.1535,sbro,2017-03-18
villanova,wisconsin,-270.0,230.0,5.5,0.7066,0.2934,sbro,2017-03-18
baylor,southern_california,-230.0,195.0,5.0,0.6728,0.3272,sbro,2017-03-19
louisville,michigan,-160.0,140.0,3.0,0.5963,0.4037,sbro,2017-03-19
ucla,cincinnati,-200.0,175.0,4.0,0.6471,0.3529,sbro,2017-03-19
arizona,xavier,-370.0,310.0,7.5,0.7635,0.2365,sbro,2017-03-23
kansas,purdue,-270.0,230.0,5.5,0.7066,0.2934,sbro,2017-03-23
oregon,michigan,-110.0,-110.0,0.0,0.5,0.5,sbro,2017-03-23
florida,wisconsin,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2017-03-24
kentucky,ucla,105.0,-125.0,168.0,0.4675,0.5325,sbro,2017-03-24
gonzaga,xavier,-400.0,330.0,8.5,0.7748,0.2252,sbro,2017-03-25
kansas,oregon,-360.0,300.0,6.5,0.7579,0.2421,sbro,2017-03-25
