home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
duke,maryland,-450.0,360.0,9.0,0.7901,0.2099,sbro,2009-03-14
illinois,purdue,140.0,-160.0,118.5,0.4037,0.5963,sbro,2009-03-14
louisville,syracuse,-340.0,280.0,7.5,0.746,0.254,sbro,2009-03-14
california,maryland,-130.0,110.0,1.0,0.5427,0.4573,sbro,2009-03-19
clemson,michigan,-200.0,170.0,4.5,0.6429,0.3571,sbro,2009-03-19
duke,binghamton,-6000.0,4100.0,24.0,0.9764,0.0236,sbro,2009-03-19
gonzaga,akron,-1100.0,840.0,14.0,0.896,0.104,sbro,2009-03-19
louisiana_state,butler,-130.0,110.0,1.5,0.5427,0.4573,sbro,2009-03-19
villanova,american,-1500.0,1050.0,15.0,0.9151,0.0849,sbro,2009-03-19
missouri,cornell,-1100.0,775.0,12.5,0.8891,0.1109,sbro,2009-03-20
duke,texas,-355.0,295.0,7.5,0.755,0.245,sbro,2009-03-21
oklahoma,michigan,-345.0,285.0,7.0,0.749,0.251,sbro,2009-03-21
villanova,ucla,-150.0,130.0,2.5,0.5798,0.4202,sbro,2009-03-21
kansas,dayton,-380.0,310.0,8.0,0.7645,0.2355,sbro,2009-03-22
louisville,siena,-1100.0,775.0,12.0,0.8891,0.1109,sbro,2009-03-22
missouri,marquette,-155.0,135.0,3.0,0.5882,0.4118,sbro,2009-03-22
xavier,wisconsin,-145.0,125.0,2.5,0.5711,0.4289,sbro,2009-03-22
