home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
temple,richmond,-210.0,170.0,4.5,0.6465,0.3535,sbro,2010-03-14
brigham_young,florida,-220.0,180.0,5.0,0.6581,0.3419,sbro,2010-03-18
butler,utep,-150.0,130.0,2.5,0.5798,0.4202,sbro,2010-03-18
georgetown,ohio,-1300.0,925.0,14.0,0.9049,0.0951,sbro,2010-03-18
kansas,lehigh,-25000.0,13000.0,25.0,0.9924,0.0076,sbro,2010-03-18
california,louisville,-118.0,-102.0,1.0,0.5174,0.4826,sbro,2010-03-19
clemson,missouri,-132.0,112.0,2.0,0.5467,0.4533,sbro,2010-03-19
pittsburgh,oakland,-525.0,415.0,9.5,0.8122,0.1878,sbro,2010-03-19
purdue,siena,-215.0,178.0,4.5,0.6549,0.3451,sbro,2010-03-19
syracuse,vermont,-2800.0,1800.0,15.5,0.9483,0.0517,sbro,2010-03-19
temple,cornell,-165.0,145.0,3.0,0.604,0.396,sbro,2010-03-19
wisconsin,wofford,-700.0,500.0,10.5,0.84,0.16,sbro,2010-03-19
tennessee,ohio,-440.0,350.0,8.5,0.7857,0.2143,sbro,2010-03-20
duke,california,-290.0,245.0,6.5,0.7195,0.2805,sbro,2010-03-21
pittsburgh,xavier,-135.0,115.0,1.5,0.5526,0.4474,sbro,2010-03-21
syracuse,gonzaga,-290.0,245.0,6.5,0.7195,0.2805,sbro,2010-03-21
wisconsin,cornell,-200.0,170.0,4.0,0.6429,0.3571,sbro,2010-03-21
kentucky,cornell,-500.0,400.0,8.5,0.8065,0.1935,sbro,2010-03-25
syracuse,butler,-290.0,245.0,6.0,0.7195,0.2805,sbro,2010-03-25
