home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
appalachianst,uscupstate,-500.0,400.0,10.5,0.8065,0.1935,sbro,2022-03-15
colorado,st_bonaventure,-160.0,140.0,3.5,0.5963,0.4037,sbro,2022-03-15
northtexas,texasstate,-370.0,310.0,8.5,0.7635,0.2365,sbro,2022-03-15
oklahoma,missourist,-250.0,210.0,5.5,0.6889,0.3111,sbro,2022-03-15
texasa_m,alcornstate,-5000.0,1500.0,18.5,0.9401,0.0599,sbro,2022-03-15
texassouthern,texasa_mcorpus,-175.0,155.0,3.5,0.6187,0.3813,sbro,2022-03-15
utahstate,oregon,-210.0,180.0,5.0,0.6548,0.3452,sbro,2022-03-15
vacommonwealth,princeton,-310.0,260.0,7.5,0.7313,0.2687,sbro,2022-03-15
vanderbilt,belmont,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-15
washingtonstate,santaclara,-160.0,140.0,3.5,0.5963,0.4037,sbro,2022-03-15
wyoming,indianau,175.0,-200.0,131.5,0.3529,0.6471,sbro,2022-03-15
xavier,clevelandstate,-600.0,450.0,11.0,0.825,0.175,sbro,2022-03-15
brigham_young,longbeachstate,-650.0,475.0,11.5,0.8329,0.1671,sbro,2022-03-16
coastalcarolina,mdeasternshore,-1100.0,700.0,13.0,0.88,0.12,sbro,2022-03-16
flagulfcoast,detroitu,-140.0,120.0,2.5,0.562,0.438,sbro,2022-03-16
florida,iona,-280.0,240.0,6.5,0.7147,0.2853,sbro,2022-03-16
rutgers,notredame,-120.0,100.0,1.0,0.5217,0.4783,sbro,2022-03-16
saintlouis,northerniowa,-160.0,140.0,3.0,0.5963,0.4037,sbro,2022-03-16
southalabama,selouisiana,-400.0,330.0,9.0,0.7748,0.2252,sbro,2022-03-16
southern_methodist,nichollsstate,-1700.0,925.0,15.0,0.9064,0.0936,sbro,2022-03-16
southernutah,kentstate,105.0,-125.0,145.0,0.4675,0.5325,sbro,2022-03-16
toledo,dayton,-135.0,115.0,2.0,0.5526,0.4474,sbro,2022-03-16
virginia,mississippist,-140.0,120.0,3.0,0.562,0.438,sbro,2022-03-16
wakeforest,towson,-405.0,335.0,8.5,0.7772,0.2228,sbro,2022-03-16
wrightstate,bryant,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-16
youngstownstate,morganstate,-290.0,245.0,7.0,0.7195,0.2805,sbro,2022-03-16
arkansas,vermont,-220.0,190.0,5.0,0.666,0.334,sbro,2022-03-17
baylor,norfolkst,-10000.0,2000.0,20.5,0.9541,0.0459,sbro,2022-03-17
boisestate,memphisu,150.0,-170.0,133.0,0.3885,0.6115,sbro,2022-03-17
coloradostate,michigan,105.0,-125.0,137.5,0.4675,0.5325,sbro,2022-03-17
connecticut,newmexicostate,-280.0,240.0,6.5,0.7147,0.2853,sbro,2022-03-17
fresnostate,e_washington,-800.0,550.0,12.0,0.8525,0.1475,sbro,2022-03-17
gonzaga,georgiastate,-12000.0,3000.0,22.5,0.9685,0.0315,sbro,2022-03-17
iowa,richmond,-500.0,400.0,9.5,0.8065,0.1935,sbro,2022-03-17
kansas,texassouthern,-10000.0,2000.0,21.5,0.9541,0.0459,sbro,2022-03-17
kentucky,saint_peter_s,-5000.0,1500.0,18.5,0.9401,0.0599,sbro,2022-03-17
murraystate,sanfrancisco,-135.0,115.0,2.0,0.5526,0.4474,sbro,2022-03-17
northcarolina,marquette,-180.0,160.0,4.0,0.6257,0.3743,sbro,2022-03-17
providence,southdakotastate,-150.0,130.0,2.5,0.5798,0.4202,sbro,2022-03-17
saintmarysca,indianau,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-17
sandiegostate,creighton,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-17
tennessee,longwood,-3000.0,1200.0,18.0,0.9264,0.0736,sbro,2022-03-17
ucla,akron,-1400.0,800.0,13.5,0.8936,0.1064,sbro,2022-03-17
alabama,notredame,-180.0,160.0,4.5,0.6257,0.3743,sbro,2022-03-18
arizona,wrightstate,-8000.0,1800.0,21.5,0.9494,0.0506,sbro,2022-03-18
auburn,jacksonvillest,-2000.0,1000.0,14.5,0.9129,0.0871,sbro,2022-03-18
duke,csfullerton,-5000.0,1500.0,18.5,0.9401,0.0599,sbro,2022-03-18
houstonu,uab,-420.0,350.0,8.5,0.7842,0.2158,sbro,2022-03-18
illinois,chattanooga,-360.0,300.0,8.0,0.7579,0.2421,sbro,2022-03-18
louisiana_state,iowastate,-160.0,140.0,3.5,0.5963,0.4037,sbro,2022-03-18
michiganstate,davidson,-105.0,-115.0,140.0,0.4892,0.5108,sbro,2022-03-18
ohiostate,loyolachicago,-105.0,-115.0,133.0,0.4892,0.5108,sbro,2022-03-18
purdue,yale,-2500.0,1100.0,16.5,0.9202,0.0798,sbro,2022-03-18
setonhall,tcu,-120.0,100.0,1.5,0.5217,0.4783,sbro,2022-03-18
southern_california,miamiflorida,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-18
texas,virginiatech,-125.0,105.0,1.5,0.5325,0.4675,sbro,2022-03-18
texastech,montanastate,-1500.0,850.0,14.5,0.8991,0.1009,sbro,2022-03-18
villanova,delaware,-2000.0,1000.0,14.5,0.9129,0.0871,sbro,2022-03-18
wisconsin,colgate,-340.0,280.0,7.5,0.746,0.254,sbro,2022-03-18
arkansas,newmexicostate,-290.0,245.0,6.5,0.7195,0.2805,sbro,2022-03-19
baylor,northcarolina,-220.0,190.0,5.5,0.666,0.334,sbro,2022-03-19
brigham_young,northerniowa,-210.0,180.0,5.0,0.6548,0.3452,sbro,2022-03-19
drake,ipfw,-500.0,400.0,10.0,0.8065,0.1935,sbro,2022-03-19
gonzaga,memphisu,-600.0,450.0,9.5,0.825,0.175,sbro,2022-03-19
kansas,creighton,-900.0,600.0,13.0,0.863,0.137,sbro,2022-03-19
middletennst,californiabaptist,-260.0,220.0,6.0,0.698,0.302,sbro,2022-03-19
murraystate,saint_peter_s,-370.0,310.0,8.0,0.7635,0.2365,sbro,2022-03-19
ohio,rice,-280.0,240.0,6.5,0.7147,0.2853,sbro,2022-03-19
portlandu,neworleansu,-390.0,325.0,8.5,0.7718,0.2282,sbro,2022-03-19
providence,richmond,-170.0,150.0,3.5,0.6115,0.3885,sbro,2022-03-19
stephenf_austin,ncasheville,-300.0,250.0,7.0,0.7241,0.2759,sbro,2022-03-19
tennessee,michigan,-300.0,250.0,7.0,0.7241,0.2759,sbro,2022-03-19
texasa_m,oregon,-180.0,160.0,4.0,0.6257,0.3743,sbro,2022-03-19
ucla,saintmarysca,-155.0,135.0,3.0,0.5882,0.4118,sbro,2022-03-19
utep,westernillinois,-350.0,290.0,8.0,0.7521,0.2479,sbro,2022-03-19
wakeforest,vacommonwealth,-200.0,175.0,4.5,0.6471,0.3529,sbro,2022-03-19
abilenechristian,troy,-240.0,200.0,6.0,0.6792,0.3208,sbro,2022-03-20
arizona,tcu,-550.0,425.0,10.0,0.8163,0.1837,sbro,2022-03-20
auburn,miamiflorida,-300.0,250.0,6.5,0.7241,0.2759,sbro,2022-03-20
duke,michiganstate,-280.0,240.0,6.5,0.7147,0.2853,sbro,2022-03-20
flaatlantic,no_colorado,-190.0,170.0,4.0,0.6389,0.3611,sbro,2022-03-20
illinois,houstonu,145.0,-165.0,133.5,0.396,0.604,sbro,2022-03-20
ncgreensboro,bostonu,-125.0,105.0,1.5,0.5325,0.4675,sbro,2022-03-20
northtexas,virginia,-125.0,105.0,1.5,0.5325,0.4675,sbro,2022-03-20
oklahoma,st_bonaventure,-240.0,200.0,5.5,0.6792,0.3208,sbro,2022-03-20
purdue,texas,-160.0,140.0,3.5,0.5963,0.4037,sbro,2022-03-20
southern_methodist,washingtonstate,-160.0,140.0,3.0,0.5963,0.4037,sbro,2022-03-20
texastech,notredame,-350.0,290.0,8.0,0.7521,0.2479,sbro,2022-03-20
vanderbilt,dayton,-170.0,150.0,3.5,0.6115,0.3885,sbro,2022-03-20
villanova,ohiostate,-210.0,180.0,5.0,0.6548,0.3452,sbro,2022-03-20
vmi,ncwilmington,115.0,-135.0,149.5,0.4474,0.5526,sbro,2022-03-20
wisconsin,iowastate,-185.0,165.0,4.0,0.6324,0.3676,sbro,2022-03-20
xavier,florida,-155.0,135.0,3.0,0.5882,0.4118,sbro,2022-03-20
abilenechristian,ohio,-120.0,100.0,0.0,0.5217,0.4783,sbro,2022-03-21
bostonu,middletennst,200.0,-240.0,138.5,0.3208,0.6792,sbro,2022-03-21
coastalcarolina,flagulfcoast,-145.0,125.0,2.5,0.5711,0.4289,sbro,2022-03-21
