home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
alabama,louisiana_state,-260.0,220.0,5.5,0.698,0.302,sbro,2021-03-14
colgate,loyolamaryland,-600.0,450.0,10.5,0.825,0.175,sbro,2021-03-14
houstonu,cincinnati,-1000.0,650.0,13.0,0.8721,0.1279,sbro,2021-03-14
illinois,ohiostate,-300.0,250.0,6.5,0.7241,0.2759,sbro,2021-03-14
st_bonaventure,vacommonwealth,-160.0,140.0,3.0,0.5963,0.4037,sbro,2021-03-14
richmond,toledo,240.0,-280.0,151.5,0.2853,0.7147,sbro,2021-03-17
saintmarysca,westernkentucky,-130.0,110.0,2.0,0.5427,0.4573,sbro,2021-03-17
appalachianst,norfolkst,-170.0,150.0,3.5,0.6115,0.3885,sbro,2021-03-18
boisestate,southern_methodist,-115.0,-105.0,145.0,0.5108,0.4892,sbro,2021-03-18
davidson,ncstate,-125.0,105.0,2.0,0.5325,0.4675,sbro,2021-03-18
michiganstate,ucla,-140.0,120.0,3.0,0.562,0.438,sbro,2021-03-18
texassouthern,mountstmarys,105.0,-125.0,133.5,0.4675,0.5325,sbro,2021-03-18
wichitastate,drake,125.0,-145.0,140.0,0.4289,0.5711,sbro,2021-03-18
arkansas,colgate,-410.0,340.0,8.5,0.7796,0.2204,sbro,2021-03-19
baylor,hartford,-10000.0,2500.0,25.5,0.9626,0.0374,sbro,2021-03-19
clemson,rutgers,130.0,-150.0,125.0,0.4202,0.5798,sbro,2021-03-19
coloradostate,buffalo,-125.0,105.0,2.0,0.5325,0.4675,sbro,2021-03-19
florida,virginiatech,105.0,-125.0,134.5,0.4675,0.5325,sbro,2021-03-19
houstonu,clevelandstate,-5000.0,1500.0,20.5,0.9401,0.0599,sbro,2021-03-19
illinois,drexel,-5000.0,1500.0,22.5,0.9401,0.0599,sbro,2021-03-19
loyolachicago,georgiatech,-250.0,210.0,5.5,0.6889,0.3111,sbro,2021-03-19
mississippi,louisianatech,-175.0,155.0,3.5,0.6187,0.3813,sbro,2021-03-19
northcarolina,wisconsin,-135.0,115.0,2.0,0.5526,0.4474,sbro,2021-03-19
ohiostate,oralroberts,-1800.0,950.0,15.0,0.9087,0.0913,sbro,2021-03-19
oklahomastate,liberty,-340.0,280.0,7.0,0.746,0.254,sbro,2021-03-19
purdue,northtexas,-330.0,270.0,7.5,0.7396,0.2604,sbro,2021-03-19
sandiegostate,syracuse,-155.0,135.0,3.0,0.5882,0.4118,sbro,2021-03-19
tennessee,oregonstate,-420.0,350.0,9.0,0.7842,0.2158,sbro,2021-03-19
texastech,utahstate,-210.0,180.0,4.0,0.6548,0.3452,sbro,2021-03-19
villanova,winthrop,-250.0,210.0,6.5,0.6889,0.3111,sbro,2021-03-19
westvirginia,moreheadstate,-1000.0,650.0,13.0,0.8721,0.1279,sbro,2021-03-19
alabama,iona,-2000.0,1000.0,16.5,0.9129,0.0871,sbro,2021-03-20
brigham_young,ucla,-170.0,150.0,3.5,0.6115,0.3885,sbro,2021-03-20
colorado,georgetown,-240.0,200.0,6.0,0.6792,0.3208,sbro,2021-03-20
connecticut,maryland,-175.0,155.0,3.5,0.6187,0.3813,sbro,2021-03-20
creighton,calsantabarb,-340.0,280.0,7.5,0.746,0.254,sbro,2021-03-20
floridastate,ncgreensboro,-650.0,475.0,10.5,0.8329,0.1671,sbro,2021-03-20
gonzaga,norfolkst,-15000.0,3000.0,33.0,0.9685,0.0315,sbro,2021-03-20
iowa,grandcanyon,-1500.0,850.0,13.5,0.8991,0.1009,sbro,2021-03-20
