home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
grandcanyon,socarolinast,-1400.0,800.0,13.0,0.8936,0.1064,sbro,2016-03-14
samhoustonst,jacksonstate,-300.0,250.0,6.5,0.7241,0.2759,sbro,2016-03-14
coastalcarolina,mercer,-260.0,220.0,6.0,0.698,0.302,sbro,2016-03-15
creighton,alabama,-420.0,350.0,8.5,0.7842,0.2158,sbro,2016-03-15
flagulfcoast,fairdickinson,-220.0,190.0,5.0,0.666,0.334,sbro,2016-03-15
floridastate,davidson,-500.0,400.0,9.0,0.8065,0.1935,sbro,2016-03-15
furman,ulmonroe,105.0,-125.0,142.0,0.4675,0.5325,sbro,2016-03-15
northflorida,florida,290.0,-350.0,162.0,0.2479,0.7521,sbro,2016-03-15
ohiostate,akron,-200.0,175.0,4.5,0.6471,0.3529,sbro,2016-03-15
saintmarysca,newmexicostate,-650.0,475.0,10.5,0.8329,0.1671,sbro,2016-03-15
sandiegostate,ipfw,-550.0,425.0,9.5,0.8163,0.1837,sbro,2016-03-15
siena,moreheadstate,-260.0,220.0,6.0,0.698,0.302,sbro,2016-03-15
southcarolina,highpoint,-7000.0,1700.0,16.5,0.9467,0.0533,sbro,2016-03-15
tennesseestate,ballstate,-180.0,160.0,4.0,0.6257,0.3743,sbro,2016-03-15
valparaiso,texassouthern,-1800.0,950.0,14.5,0.9087,0.0913,sbro,2016-03-15
washingtonu,longbeachstate,-550.0,425.0,9.5,0.8163,0.1837,sbro,2016-03-15
wichitastate,vanderbilt,-170.0,150.0,3.5,0.6115,0.3885,sbro,2016-03-15
brigham_young,uab,-550.0,425.0,9.5,0.8163,0.1837,sbro,2016-03-16
centralmichigan,tennmartin,-500.0,400.0,9.0,0.8065,0.1935,sbro,2016-03-16
columbia,norfolkst,-1100.0,700.0,12.5,0.88,0.12,sbro,2016-03-16
duquesne,nebraskaomaha,-240.0,200.0,5.5,0.6792,0.3208,sbro,2016-03-16
e_washington,pepperdine,110.0,-130.0,161.0,0.4573,0.5427,sbro,2016-03-16
fairfield,newhampshire,-220.0,190.0,5.0,0.666,0.334,sbro,2016-03-16
fordham,bostonu,-380.0,320.0,8.0,0.7688,0.2312,sbro,2016-03-16
georgia,belmont,-340.0,280.0,7.0,0.746,0.254,sbro,2016-03-16
georgiatech,houstonu,-170.0,150.0,3.5,0.6115,0.3885,sbro,2016-03-16
geowashington,hofstra,-265.0,225.0,6.0,0.7023,0.2977,sbro,2016-03-16
holycross,southern,115.0,-135.0,129.0,0.4474,0.5526,sbro,2016-03-16
michigan,tulsa,-135.0,115.0,2.0,0.5526,0.4474,sbro,2016-03-16
monmouth,bucknell,-420.0,350.0,8.5,0.7842,0.2158,sbro,2016-03-16
ncgreensboro,houstonbaptist,-400.0,330.0,8.0,0.7748,0.2252,sbro,2016-03-16
nevada,montana,-160.0,140.0,3.0,0.5963,0.4037,sbro,2016-03-16
njit,army,-165.0,145.0,3.5,0.604,0.396,sbro,2016-03-16
northdakota,calirvine,250.0,-300.0,143.5,0.2759,0.7241,sbro,2016-03-16
ohio,albanyny,-160.0,140.0,3.0,0.5963,0.4037,sbro,2016-03-16
savannahstate,utarlington,650.0,-1000.0,138.0,0.1279,0.8721,sbro,2016-03-16
seattleu,idahou,125.0,-145.0,133.0,0.4289,0.5711,sbro,2016-03-16
st_bonaventure,wagner,-500.0,400.0,9.0,0.8065,0.1935,sbro,2016-03-16
ullafayette,texasa_mcorpus,-450.0,375.0,9.0,0.7953,0.2047,sbro,2016-03-16
vermont,westerncarolina,-265.0,225.0,6.0,0.7023,0.2977,sbro,2016-03-16
virginiatech,princeton,-210.0,180.0,5.0,0.6548,0.3452,sbro,2016-03-16
arizona,wichitastate,-110.0,-110.0,0.0,0.5,0.5,sbro,2016-03-17
baylor,yale,-250.0,210.0,5.5,0.6889,0.3111,sbro,2016-03-17
colorado,connecticut,150.0,-170.0,131.0,0.3885,0.6115,sbro,2016-03-17
duke,ncwilmington,-550.0,425.0,9.5,0.8163,0.1837,sbro,2016-03-17
grandcanyon,jacksonstate,-700.0,500.0,10.5,0.84,0.16,sbro,2016-03-17
indianau,tennesseechat,-700.0,500.0,10.5,0.84,0.16,sbro,2016-03-17
iowastate,iona,-300.0,250.0,6.5,0.7241,0.2759,sbro,2016-03-17
kansas,austinpeay,-16500.0,6500.0,24.5,0.985,0.015,sbro,2016-03-17
kentucky,stonybrook,-1400.0,800.0,13.5,0.8936,0.1064,sbro,2016-03-17
miamiflorida,buffalo,-1400.0,800.0,14.0,0.8936,0.1064,sbro,2016-03-17
northcarolina,flagulfcoast,-13500.0,5500.0,23.5,0.9823,0.0177,sbro,2016-03-17
purdue,arkansaslr,-400.0,330.0,8.0,0.7748,0.2252,sbro,2016-03-17
setonhall,gonzaga,115.0,-135.0,146.0,0.4474,0.5526,sbro,2016-03-17
southern_california,providence,120.0,-140.0,150.0,0.438,0.562,sbro,2016-03-17
texastech,butler,145.0,-165.0,143.0,0.396,0.604,sbro,2016-03-17
utahu,fresnostate,-430.0,360.0,8.5,0.7887,0.2113,sbro,2016-03-17
valparaiso,floridastate,-200.0,175.0,4.5,0.6471,0.3529,sbro,2016-03-17
virginia,hampton,-13500.0,5500.0,23.0,0.9823,0.0177,sbro,2016-03-17
brigham_young,virginiatech,-400.0,325.0,8.0,0.7727,0.2273,sbro,2016-03-18
california,hawaii,-260.0,210.0,6.0,0.6913,0.3087,sbro,2016-03-18
dayton,syracuse,-105.0,-115.0,128.5,0.4892,0.5108,sbro,2016-03-18
iowa,temple,-382.0,305.0,7.0,0.7625,0.2375,sbro,2016-03-18
maryland,southdakotast,-475.0,380.0,9.0,0.7986,0.2014,sbro,2016-03-18
michiganstate,middletennst,-3000.0,1529.0,16.5,0.9404,0.0596,sbro,2016-03-18
notredame,michigan,-155.0,135.0,3.0,0.5882,0.4118,sbro,2016-03-18
oklahoma,csbakersfield,-1600.0,900.0,15.0,0.904,0.096,sbro,2016-03-18
oregon,holycross,-10000.0,3000.0,23.0,0.9684,0.0316,sbro,2016-03-18
oregonstate,vacommonwealth,180.0,-210.0,141.5,0.3452,0.6548,sbro,2016-03-18
st_josephs,cincinnati,150.0,-170.0,136.5,0.3885,0.6115,sbro,2016-03-18
texas,northerniowa,-160.0,140.0,3.0,0.5963,0.4037,sbro,2016-03-18
texasa_m,wiscgreenbay,-1053.0,726.0,13.0,0.883,0.117,sbro,2016-03-18
villanova,ncasheville,-4000.0,1769.0,17.5,0.948,0.052,sbro,2016-03-18
westvirginia,stephenf_austin,-305.0,245.0,7.0,0.7221,0.2779,sbro,2016-03-18
wisconsin,pittsburgh,101.0,-121.0,130.0,0.4761,0.5239,sbro,2016-03-18
xavier,weberstate,-1200.0,800.0,13.5,0.8926,0.1074,sbro,2016-03-18
