home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
quinnipiac,buffalo,110.0,-130.0,1.5,0.4573,0.5427,sbro,2011-03-14
airforce,northdakota,-1800.0,1050.0,14.5,0.9159,0.0841,sbro,2011-03-15
alabama,coastalcarolina,-900.0,650.0,12.0,0.871,0.129,sbro,2011-03-15
arkansaslr,ncasheville,160.0,-190.0,130.0,0.3699,0.6301,sbro,2011-03-15
boisestate,austinpeay,-485.0,375.0,9.0,0.7975,0.2025,sbro,2011-03-15
clemson,uab,-210.0,175.0,4.5,0.6507,0.3493,sbro,2011-03-15
clevelandstate,vermont,-700.0,500.0,10.5,0.84,0.16,sbro,2011-03-15
collcharleston,dayton,-265.0,215.0,6.5,0.6958,0.3042,sbro,2011-03-15
coloradostate,fairfield,-300.0,240.0,7.0,0.7183,0.2817,sbro,2011-03-15
creighton,sanjosestate,-600.0,450.0,10.5,0.825,0.175,sbro,2011-03-15
davidson,jamesmadison,-135.0,115.0,2.0,0.5526,0.4474,sbro,2011-03-15
eastcarolina,jacksonville,-375.0,295.0,7.5,0.7572,0.2428,sbro,2011-03-15
etennesseest,furman,-210.0,175.0,5.5,0.6507,0.3493,sbro,2011-03-15
evansville,hofstra,-130.0,110.0,2.5,0.5427,0.4573,sbro,2011-03-15
hawaii,portlandu,-135.0,115.0,2.5,0.5526,0.4474,sbro,2011-03-15
marshall,ohio,-315.0,255.0,7.0,0.7293,0.2707,sbro,2011-03-15
mcneesestate,bostoncollege,190.0,-235.0,142.0,0.3296,0.6704,sbro,2011-03-15
missourist,murraystate,-440.0,340.0,9.0,0.7819,0.2181,sbro,2011-03-15
newmexico,utep,-300.0,240.0,6.5,0.7183,0.2817,sbro,2011-03-15
northerniowa,rider,-310.0,250.0,6.5,0.7258,0.2742,sbro,2011-03-15
oklahomastate,harvard,-240.0,195.0,5.0,0.6756,0.3244,sbro,2011-03-15
saintmarysca,kentstate,-750.0,550.0,11.5,0.8515,0.1485,sbro,2011-03-15
santaclara,northernarizona,-210.0,175.0,5.0,0.6507,0.3493,sbro,2011-03-15
california,mississippi,-210.0,175.0,4.5,0.6507,0.3493,sbro,2011-03-16
centralflorida,st_bonaventure,-335.0,265.0,7.5,0.7376,0.2624,sbro,2011-03-16
colorado,texassouthern,-7500.0,1800.0,19.0,0.9494,0.0506,sbro,2011-03-16
miamiflorida,flaatlantic,-550.0,425.0,9.5,0.8163,0.1837,sbro,2011-03-16
montana,duquesne,115.0,-135.0,135.5,0.4474,0.5526,sbro,2011-03-16
northwestern,wiscmilwaukee,-525.0,400.0,9.5,0.8077,0.1923,sbro,2011-03-16
oregon,weberstate,-550.0,425.0,10.0,0.8163,0.1837,sbro,2011-03-16
rhodeisland,miamiohio,-425.0,325.0,8.5,0.7748,0.2252,sbro,2011-03-16
sanfrancisco,idahou,-210.0,175.0,4.5,0.6507,0.3493,sbro,2011-03-16
southern_california,vacommonwealth,-200.0,170.0,4.0,0.6429,0.3571,sbro,2011-03-16
southern_methodist,oralroberts,-200.0,170.0,4.5,0.6429,0.3571,sbro,2011-03-16
texsanantonio,alabamastate,-150.0,130.0,3.0,0.5798,0.4202,sbro,2011-03-16
valparaiso,iona,-125.0,105.0,1.5,0.5325,0.4675,sbro,2011-03-16
virginiatech,bethunecookman,-9000.0,2200.0,20.5,0.9579,0.0421,sbro,2011-03-16
washingtonstate,longbeachstate,-525.0,400.0,9.0,0.8077,0.1923,sbro,2011-03-16
westernmichigan,tennesseetech,-355.0,275.0,7.5,0.7453,0.2547,sbro,2011-03-16
wichitastate,nebraska,-255.0,205.0,6.0,0.6866,0.3134,sbro,2011-03-16
brigham_young,wofford,-398.0,342.0,8.5,0.7794,0.2206,sbro,2011-03-17
butler,olddominion,106.0,-120.0,123.0,0.4709,0.5291,sbro,2011-03-17
cincinnati,missouri,-107.0,-107.0,1.0,0.5,0.5,sbro,2011-03-17
connecticut,bucknell,-578.0,472.0,10.5,0.8298,0.1702,sbro,2011-03-17
florida,calsantabarb,-985.0,725.0,12.5,0.8822,0.1178,sbro,2011-03-17
kansasstate,utahstate,-115.0,101.0,1.5,0.5181,0.4819,sbro,2011-03-17
kentucky,princeton,-1079.0,791.0,13.0,0.8908,0.1092,sbro,2011-03-17
louisville,moreheadstate,-550.0,455.0,9.5,0.8244,0.1756,sbro,2011-03-17
pittsburgh,ncasheville,-3700.0,2300.0,18.5,0.959,0.041,sbro,2011-03-17
sandiegostate,no_colorado,-1518.0,1132.0,14.5,0.9204,0.0796,sbro,2011-03-17
st_johns,gonzaga,100.0,-114.0,0.0,0.4842,0.5158,sbro,2011-03-17
temple,pennstate,-137.0,123.0,2.0,0.5631,0.4369,sbro,2011-03-17
ucla,michiganstate,101.0,-115.0,131.0,0.4819,0.5181,sbro,2011-03-17
vanderbilt,richmond,-152.0,138.0,3.0,0.5894,0.4106,sbro,2011-03-17
westvirginia,clemson,-127.0,113.0,2.0,0.5437,0.4563,sbro,2011-03-17
wisconsin,belmont,-181.0,164.0,4.0,0.6297,0.3703,sbro,2011-03-17
arizona,memphisu,-265.0,215.0,5.5,0.6958,0.3042,sbro,2011-03-18
colorado,california,-280.0,230.0,6.0,0.7086,0.2914,sbro,2011-03-18
duke,hampton,-20825.0,10675.0,25.0,0.9908,0.0092,sbro,2011-03-18
georgemason,villanova,105.0,-125.0,135.5,0.4675,0.5325,sbro,2011-03-18
georgetown,vacommonwealth,-270.0,220.0,5.5,0.7002,0.2998,sbro,2011-03-18
kansas,bostonu,-15000.0,8000.0,23.5,0.9877,0.0123,sbro,2011-03-18
michigan,tennessee,-105.0,-115.0,0.0,0.4892,0.5108,sbro,2011-03-18
nevada_las_vegas,illinois,-135.0,115.0,2.0,0.5526,0.4474,sbro,2011-03-18
northcarolina,longisland,-4400.0,1650.0,18.5,0.9448,0.0552,sbro,2011-03-18
notredame,akron,-2000.0,1100.0,14.0,0.9195,0.0805,sbro,2011-03-18
ohiostate,texsanantonio,-19475.0,10025.0,25.5,0.9902,0.0098,sbro,2011-03-18
purdue,saint_peter_s,-1700.0,1000.0,15.0,0.9122,0.0878,sbro,2011-03-18
santaclara,airforce,-220.0,180.0,5.5,0.6581,0.3419,sbro,2011-03-18
syracuse,indianastate,-1450.0,850.0,13.0,0.8989,0.1011,sbro,2011-03-18
texas,oakland,-700.0,500.0,10.0,0.84,0.16,sbro,2011-03-18
texasa_m,floridastate,-115.0,-105.0,0.0,0.5108,0.4892,sbro,2011-03-18
washingtonu,georgia,-260.0,210.0,6.0,0.6913,0.3087,sbro,2011-03-18
xavier,marquette,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2011-03-18
bostoncollege,northwestern,-210.0,175.0,4.5,0.6507,0.3493,sbro,2011-03-19
brigham_young,gonzaga,105.0,-125.0,1.0,0.4675,0.5325,sbro,2011-03-19
clevelandstate,collcharleston,-190.0,160.0,4.5,0.6301,0.3699,sbro,2011-03-19
connecticut,cincinnati,-190.0,160.0,4.0,0.6301,0.3699,sbro,2011-03-19
florida,ucla,-245.0,205.0,5.0,0.6841,0.3159,sbro,2011-03-19
hawaii,sanfrancisco,-270.0,220.0,6.5,0.7002,0.2998,sbro,2011-03-19
kentucky,westvirginia,-180.0,155.0,3.5,0.6211,0.3789,sbro,2011-03-19
pittsburgh,butler,-400.0,320.0,8.0,0.7706,0.2294,sbro,2011-03-19
richmond,moreheadstate,-220.0,180.0,4.5,0.6581,0.3419,sbro,2011-03-19
sandiegostate,temple,-250.0,210.0,5.5,0.6889,0.3111,sbro,2011-03-19
southern_methodist,jacksonville,-260.0,215.0,6.0,0.6947,0.3053,sbro,2011-03-19
westernmichigan,buffalo,-125.0,105.0,0.0,0.5325,0.4675,sbro,2011-03-19
wisconsin,kansasstate,-160.0,140.0,3.5,0.5963,0.4037,sbro,2011-03-19
duke,michigan,-1200.0,800.0,13.0,0.8926,0.1074,sbro,2011-03-20
fairfield,kentstate,-240.0,200.0,5.0,0.6792,0.3208,sbro,2011-03-20
kansas,illinois,-450.0,350.0,8.0,0.7864,0.2136,sbro,2011-03-20
northcarolina,washingtonu,-175.0,155.0,3.5,0.6187,0.3813,sbro,2011-03-20
notredame,floridastate,-220.0,180.0,4.5,0.6581,0.3419,sbro,2011-03-20
ohiostate,georgemason,-900.0,650.0,11.5,0.871,0.129,sbro,2011-03-20
purdue,vacommonwealth,-500.0,400.0,10.0,0.8065,0.1935,sbro,2011-03-20
syracuse,marquette,-210.0,175.0,4.5,0.6507,0.3493,sbro,2011-03-20
texas,arizona,-260.0,220.0,5.5,0.698,0.302,sbro,2011-03-20
virginiatech,wichitastate,-260.0,220.0,6.0,0.698,0.302,sbro,2011-03-20
alabama,newmexico,-300.0,250.0,6.5,0.7241,0.2759,sbro,2011-03-21
boisestate,evansville,-500.0,400.0,9.5,0.8065,0.1935,sbro,2011-03-21
centralflorida,rhodeisland,-255.0,215.0,6.0,0.6935,0.3065,sbro,2011-03-21
creighton,davidson,-300.0,250.0,7.0,0.7241,0.2759,sbro,2011-03-21
miamiflorida,missourist,-215.0,180.0,5.0,0.6565,0.3435,sbro,2011-03-21
northerniowa,southern_methodist,-340.0,280.0,7.5,0.746,0.254,sbro,2011-03-21
oregon,duquesne,100.0,-120.0,151.0,0.4783,0.5217,sbro,2011-03-21
washingtonstate,oklahomastate,-300.0,250.0,7.0,0.7241,0.2759,sbro,2011-03-21
colorado,kentstate,-650.0,475.0,10.5,0.8329,0.1671,sbro,2011-03-22
etennesseest,ohio,-220.0,180.0,5.0,0.6581,0.3419,sbro,2011-03-22
iona,buffalo,-480.0,380.0,9.5,0.7989,0.2011,sbro,2011-03-22
sanfrancisco,santaclara,-130.0,110.0,1.5,0.5427,0.4573,sbro,2011-03-22
alabama,miamiflorida,-220.0,180.0,5.0,0.6581,0.3419,sbro,2011-03-23
creighton,centralflorida,-200.0,170.0,4.0,0.6429,0.3571,sbro,2011-03-23
oregon,boisestate,-200.0,170.0,4.5,0.6429,0.3571,sbro,2011-03-23
washingtonstate,northwestern,-185.0,165.0,4.0,0.6324,0.3676,sbro,2011-03-23
wichitastate,collcharleston,-400.0,330.0,8.5,0.7748,0.2252,sbro,2011-03-23
duke,arizona,-600.0,450.0,9.5,0.825,0.175,sbro,2011-03-24
florida,brigham_young,-145.0,125.0,2.5,0.5711,0.4289,sbro,2011-03-24
sandiegostate,connecticut,-135.0,115.0,2.0,0.5526,0.4474,sbro,2011-03-24
wisconsin,butler,-200.0,170.0,4.5,0.6429,0.3571,sbro,2011-03-24
floridastate,vacommonwealth,-200.0,170.0,4.5,0.6429,0.3571,sbro,2011-03-25
kansas,richmond,-725.0,525.0,10.5,0.846,0.154,sbro,2011-03-25
northcarolina,marquette,-200.0,170.0,4.0,0.6429,0.3571,sbro,2011-03-25
ohiostate,kentucky,-250.0,210.0,5.5,0.6889,0.3111,sbro,2011-03-25
southern_methodist,santaclara,-170.0,150.0,3.5,0.6115,0.3885,sbro,2011-03-25
