home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
alabama,richmond,-380.0,320.0,8.0,0.7688,0.2312,sbro,2017-03-14
california,csbakersfield,-300.0,250.0,6.5,0.7241,0.2759,sbro,2017-03-14
campbell,houstonbaptist,110.0,-130.0,150.5,0.4573,0.5427,sbro,2017-03-14
clemson,oakland,-700.0,500.0,10.5,0.84,0.16,sbro,2017-03-14
coloradostate,collcharleston,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-14
georgiatech,indianau,125.0,-145.0,143.0,0.4289,0.5711,sbro,2017-03-14
illinois,valparaiso,-450.0,375.0,9.0,0.7953,0.2047,sbro,2017-03-14
jacksonville,st_francispa,-190.0,170.0,4.0,0.6389,0.3611,sbro,2017-03-14
monmouth,mississippi,-120.0,100.0,1.5,0.5217,0.4783,sbro,2017-03-14
neworleansu,mountstmarys,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2017-03-14
samford,canisius,-170.0,150.0,3.5,0.6115,0.3885,sbro,2017-03-14
utahu,boisestate,-900.0,600.0,12.0,0.863,0.137,sbro,2017-03-14
wakeforest,kansasstate,-105.0,-115.0,147.5,0.4892,0.5108,sbro,2017-03-14
brigham_young,utarlington,-270.0,230.0,6.0,0.7066,0.2934,sbro,2017-03-15
centralflorida,colorado,-170.0,150.0,3.5,0.6115,0.3885,sbro,2017-03-15
coastalcarolina,hampton,-450.0,375.0,9.0,0.7953,0.2047,sbro,2017-03-15
georgemason,loyolamaryland,-600.0,450.0,10.5,0.825,0.175,sbro,2017-03-15
georgia,belmont,-210.0,180.0,5.0,0.6548,0.3452,sbro,2017-03-15
georgiasouthern,utahvalley,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-15
geowashington,toledo,-265.0,225.0,6.0,0.7023,0.2977,sbro,2017-03-15
houstonu,akron,-360.0,300.0,7.5,0.7579,0.2421,sbro,2017-03-15
idahou,stephenf_austin,-185.0,165.0,4.5,0.6324,0.3676,sbro,2017-03-15
illinoisstate,calirvine,-600.0,450.0,10.0,0.825,0.175,sbro,2017-03-15
iowa,southdakota,-750.0,525.0,11.0,0.8465,0.1535,sbro,2017-03-15
ipfw,ballstate,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-15
kansas_city,wiscgreenbay,105.0,-125.0,169.0,0.4675,0.5325,sbro,2017-03-15
mdbaltimoreco,fairfield,-155.0,135.0,3.0,0.5882,0.4118,sbro,2017-03-15
providence,southern_california,115.0,-135.0,141.5,0.4474,0.5526,sbro,2017-03-15
rice,sanfrancisco,-130.0,110.0,1.5,0.5427,0.4573,sbro,2017-03-15
syracuse,ncgreensboro,-1000.0,650.0,12.5,0.8721,0.1279,sbro,2017-03-15
tcu,fresnostate,-450.0,375.0,8.5,0.7953,0.2047,sbro,2017-03-15
texasa_mcorpus,georgiastate,135.0,-155.0,146.5,0.4118,0.5882,sbro,2017-03-15
ucdavis,nccentral,150.0,-170.0,131.0,0.3885,0.6115,sbro,2017-03-15
wyoming,e_washington,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-15
albanyny,saint_peter_s,-125.0,105.0,1.5,0.5325,0.4675,sbro,2017-03-16
arizona,northdakota,-7000.0,1700.0,18.5,0.9467,0.0533,sbro,2017-03-16
butler,winthrop,-700.0,500.0,10.5,0.84,0.16,sbro,2017-03-16
csfullerton,weberstate,-140.0,120.0,2.5,0.562,0.438,sbro,2017-03-16
florida,etennesseest,-500.0,400.0,9.5,0.8065,0.1935,sbro,2017-03-16
floridastate,flagulfcoast,-800.0,550.0,11.0,0.8525,0.1475,sbro,2017-03-16
gonzaga,southdakotastate,-5000.0,2500.0,23.0,0.9623,0.0377,sbro,2017-03-16
illinoischicago,stonybrook,-145.0,125.0,2.5,0.5711,0.4289,sbro,2017-03-16
iowastate,nevada,-280.0,240.0,6.0,0.7147,0.2853,sbro,2017-03-16
maryland,xavier,-130.0,110.0,2.0,0.5427,0.4573,sbro,2017-03-16
minnesotau,middletennst,105.0,-125.0,138.0,0.4675,0.5325,sbro,2017-03-16
northwestern,vanderbilt,115.0,-135.0,130.0,0.4474,0.5526,sbro,2017-03-16
notredame,princeton,-275.0,235.0,6.0,0.7107,0.2893,sbro,2017-03-16
purdue,vermont,-410.0,340.0,9.0,0.7796,0.2204,sbro,2017-03-16
saintmarysca,vacommonwealth,-180.0,160.0,4.0,0.6257,0.3743,sbro,2017-03-16
tennmartin,ncasheville,180.0,-210.0,151.0,0.3452,0.6548,sbro,2017-03-16
texasstate,lamar,-500.0,400.0,9.5,0.8065,0.1935,sbro,2017-03-16
uscupstate,furman,250.0,-300.0,148.5,0.2759,0.7241,sbro,2017-03-16
villanova,mountstmarys,-10000.0,4500.0,25.0,0.9785,0.0215,sbro,2017-03-16
virginia,ncwilmington,-350.0,290.0,7.5,0.7521,0.2479,sbro,2017-03-16
westvirginia,bucknell,-1100.0,700.0,13.0,0.88,0.12,sbro,2017-03-16
wisconsin,virginiatech,-250.0,210.0,6.0,0.6889,0.3111,sbro,2017-03-16
arkansas,setonhall,-105.0,-115.0,147.0,0.4892,0.5108,sbro,2017-03-17
baylor,newmexicostate,-800.0,600.0,11.5,0.8615,0.1385,sbro,2017-03-17
cincinnati,kansasstate,-160.0,140.0,3.0,0.5963,0.4037,sbro,2017-03-17
creighton,rhodeisland,115.0,-135.0,144.5,0.4474,0.5526,sbro,2017-03-17
dayton,wichitastate,230.0,-270.0,145.5,0.2934,0.7066,sbro,2017-03-17
duke,troy,-10000.0,2400.0,19.5,0.9612,0.0388,sbro,2017-03-17
kansas,ucdavis,-7500.0,3500.0,23.0,0.9726,0.0274,sbro,2017-03-17
kentucky,northernkentucky,-5000.0,2500.0,20.0,0.9623,0.0377,sbro,2017-03-17
louisville,jacksonvillest,-5000.0,2500.0,18.5,0.9623,0.0377,sbro,2017-03-17
miamiflorida,michiganstate,-130.0,110.0,2.0,0.5427,0.4573,sbro,2017-03-17
michigan,oklahomastate,-140.0,120.0,2.5,0.562,0.438,sbro,2017-03-17
northcarolina,texassouthern,-10000.0,2500.0,26.5,0.9626,0.0374,sbro,2017-03-17
oregon,iona,-2000.0,1000.0,15.5,0.9129,0.0871,sbro,2017-03-17
southcarolina,marquette,-105.0,-115.0,143.5,0.4892,0.5108,sbro,2017-03-17
southern_methodist,southern_california,-320.0,260.0,7.5,0.7328,0.2672,sbro,2017-03-17
ucla,kentstate,-3500.0,1800.0,19.5,0.9486,0.0514,sbro,2017-03-17
arizona,saintmarysca,-250.0,210.0,5.5,0.6889,0.3111,sbro,2017-03-18
butler,middletennst,-145.0,125.0,2.5,0.5711,0.4289,sbro,2017-03-18
florida,virginia,-125.0,105.0,1.5,0.5325,0.4675,sbro,2017-03-18
floridastate,xavier,-370.0,310.0,7.5,0.7635,0.2365,sbro,2017-03-18
gonzaga,northwestern,-750.0,525.0,10.5,0.8465,0.1535,sbro,2017-03-18
mdbaltimoreco,st_francispa,-300.0,250.0,6.5,0.7241,0.2759,sbro,2017-03-18
purdue,iowastate,-120.0,100.0,1.0,0.5217,0.4783,sbro,2017-03-18
syracuse,mississippi,-350.0,290.0,7.5,0.7521,0.2479,sbro,2017-03-18
villanova,wisconsin,-270.0,230.0,5.5,0.7066,0.2934,sbro,2017-03-18
westvirginia,notredame,-150.0,130.0,2.5,0.5798,0.4202,sbro,2017-03-18
baylor,southern_california,-230.0,195.0,5.0,0.6728,0.3272,sbro,2017-03-19
duke,southcarolina,-340.0,280.0,6.5,0.746,0.254,sbro,2017-03-19
georgiatech,belmont,-180.0,160.0,4.0,0.6257,0.3743,sbro,2017-03-19
iowa,tcu,-150.0,130.0,2.5,0.5798,0.4202,sbro,2017-03-19
kansas,michiganstate,-400.0,330.0,8.0,0.7748,0.2252,sbro,2017-03-19
kentucky,wichitastate,-170.0,150.0,3.5,0.6115,0.3885,sbro,2017-03-19
louisville,michigan,-160.0,140.0,3.0,0.5963,0.4037,sbro,2017-03-19
northcarolina,arkansas,-1100.0,700.0,11.5,0.88,0.12,sbro,2017-03-19
oregon,rhodeisland,-240.0,200.0,5.0,0.6792,0.3208,sbro,2017-03-19
richmond,oakland,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-19
ucla,cincinnati,-200.0,175.0,4.0,0.6471,0.3529,sbro,2017-03-19
campbell,tennmartin,-110.0,-110.0,0.0,0.5,0.5,sbro,2017-03-20
coastalcarolina,loyolamaryland,-240.0,200.0,5.5,0.6792,0.3208,sbro,2017-03-20
coloradostate,csbakersfield,-200.0,175.0,5.0,0.6471,0.3529,sbro,2017-03-20
illinois,boisestate,-410.0,340.0,8.5,0.7796,0.2204,sbro,2017-03-20
illinoischicago,geowashington,220.0,-260.0,149.0,0.302,0.698,sbro,2017-03-20
illinoisstate,centralflorida,-250.0,210.0,5.5,0.6889,0.3111,sbro,2017-03-20
liberty,samford,-135.0,115.0,2.0,0.5526,0.4474,sbro,2017-03-20
rice,utahvalley,-210.0,180.0,4.5,0.6548,0.3452,sbro,2017-03-20
texasa_mcorpus,weberstate,-130.0,110.0,1.5,0.5427,0.4573,sbro,2017-03-20
utarlington,akron,-240.0,200.0,5.0,0.6792,0.3208,sbro,2017-03-20
wyoming,kansas_city,-500.0,400.0,9.5,0.8065,0.1935,sbro,2017-03-20
mississippi,georgiatech,-210.0,180.0,5.5,0.6548,0.3452,sbro,2017-03-21
tcu,richmond,-380.0,320.0,8.0,0.7688,0.2312,sbro,2017-03-21
centralflorida,illinois,-185.0,165.0,4.0,0.6324,0.3676,sbro,2017-03-22
coastalcarolina,illinoischicago,-200.0,175.0,4.5,0.6471,0.3529,sbro,2017-03-22
texasstate,idahou,-210.0,180.0,5.0,0.6548,0.3452,sbro,2017-03-22
utarlington,csbakersfield,-180.0,160.0,4.0,0.6257,0.3743,sbro,2017-03-22
wyoming,utahvalley,-185.0,165.0,4.0,0.6324,0.3676,sbro,2017-03-22
arizona,xavier,-370.0,310.0,7.5,0.7635,0.2365,sbro,2017-03-23
gonzaga,westvirginia,-170.0,150.0,3.0,0.6115,0.3885,sbro,2017-03-23
kansas,purdue,-270.0,230.0,5.5,0.7066,0.2934,sbro,2017-03-23
oregon,michigan,-110.0,-110.0,0.0,0.5,0.5,sbro,2017-03-23
baylor,southcarolina,-160.0,140.0,3.0,0.5963,0.4037,sbro,2017-03-24
florida,wisconsin,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2017-03-24
kentucky,ucla,105.0,-125.0,168.0,0.4675,0.5325,sbro,2017-03-24
northcarolina,butler,-340.0,280.0,7.0,0.746,0.254,sbro,2017-03-24
campbell,furman,220.0,-260.0,141.5,0.302,0.698,sbro,2017-03-25
gonzaga,xavier,-400.0,330.0,8.5,0.7748,0.2252,sbro,2017-03-25
kansas,oregon,-360.0,300.0,6.5,0.7579,0.2421,sbro,2017-03-25
texasstate,saint_peter_s,-120.0,100.0,1.0,0.5217,0.4783,sbro,2017-03-25
