home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
arizonastate,ucla,-200.0,170.0,4.5,0.6429,0.3571,sbro,2019-03-14
auburn,missouri,-600.0,425.0,9.5,0.8182,0.1818,sbro,2019-03-14
baylor,iowastate,140.0,-160.0,143.0,0.4037,0.5963,sbro,2019-03-14
bowlinggreen,ballstate,110.0,-130.0,143.5,0.4573,0.5427,sbro,2019-03-14
buffalo,akron,-800.0,550.0,11.0,0.8525,0.1475,sbro,2019-03-14
calirvine,calriverside,-1700.0,925.0,15.0,0.9064,0.0936,sbro,2019-03-14
calsantabarb,csnorthridge,-250.0,200.0,5.5,0.6818,0.3182,sbro,2019-03-14
coastalcarolina,ulmonroe,120.0,-140.0,151.5,0.438,0.562,sbro,2019-03-14
csfullerton,ucdavis,-140.0,120.0,2.0,0.562,0.438,sbro,2019-03-14
duke,syracuse,-1100.0,700.0,13.5,0.88,0.12,sbro,2019-03-14
duquesne,st_josephs,115.0,-135.0,149.0,0.4474,0.5526,sbro,2019-03-14
e_washington,montanastate,-135.0,115.0,2.0,0.5526,0.4474,sbro,2019-03-14
florida,arkansas,-170.0,145.0,3.5,0.6067,0.3933,sbro,2019-03-14
floridastate,virginiatech,100.0,-120.0,135.5,0.4783,0.5217,sbro,2019-03-14
fresnostate,airforce,-600.0,425.0,10.0,0.8182,0.1818,sbro,2019-03-14
georgemason,geowashington,-500.0,375.0,9.0,0.7983,0.2017,sbro,2019-03-14
grandcanyon,seattleu,-260.0,210.0,6.0,0.6913,0.3087,sbro,2019-03-14
hawaii,longbeachstate,-130.0,110.0,2.0,0.5427,0.4573,sbro,2019-03-14
howard,bethunecookman,105.0,-125.0,155.5,0.4675,0.5325,sbro,2019-03-14
iowa,illinois,-220.0,180.0,5.0,0.6581,0.3419,sbro,2019-03-14
kansas,texas,-185.0,155.0,3.5,0.6234,0.3766,sbro,2019-03-14
kansasstate,tcu,-190.0,160.0,4.0,0.6301,0.3699,sbro,2019-03-14
kentstate,centralmichigan,-125.0,105.0,1.5,0.5325,0.4675,sbro,2019-03-14
marquette,st_johns,-190.0,160.0,4.0,0.6301,0.3699,sbro,2019-03-14
maryland,nebraska,-280.0,230.0,6.5,0.7086,0.2914,sbro,2019-03-14
memphisu,tulane,-2500.0,1100.0,16.5,0.9202,0.0798,sbro,2019-03-14
minnesotau,pennstate,140.0,-160.0,135.5,0.4037,0.5963,sbro,2019-03-14
mississippi,alabama,-185.0,155.0,4.0,0.6234,0.3766,sbro,2019-03-14
mississippist,texasa_m,-460.0,355.0,9.0,0.7889,0.2111,sbro,2019-03-14
montana,sacramentostate,-550.0,400.0,9.0,0.8088,0.1912,sbro,2019-03-14
nccentral,delawarestate,-850.0,575.0,11.5,0.8579,0.1421,sbro,2019-03-14
nevada,boisestate,-900.0,600.0,11.5,0.863,0.137,sbro,2019-03-14
newmexicostate,chicagost,-25000.0,9000.0,27.5,0.9891,0.0109,sbro,2019-03-14
neworleansu,lamar,160.0,-190.0,139.5,0.3699,0.6301,sbro,2019-03-14
no_colorado,southernutah,-420.0,320.0,8.5,0.7723,0.2277,sbro,2019-03-14
northcarolina,louisville,-330.0,260.0,7.0,0.7342,0.2658,sbro,2019-03-14
ohiostate,indianau,115.0,-135.0,129.0,0.4474,0.5526,sbro,2019-03-14
olddominion,louisianatech,-170.0,145.0,3.5,0.6067,0.3933,sbro,2019-03-14
oregonstate,colorado,-145.0,125.0,2.5,0.5711,0.4289,sbro,2019-03-14
rhodeisland,lasalle,-260.0,210.0,5.5,0.6913,0.3087,sbro,2019-03-14
saintlouis,richmond,-240.0,190.0,5.5,0.6718,0.3282,sbro,2019-03-14
sandiegostate,nevada_las_vegas,-140.0,120.0,2.0,0.562,0.438,sbro,2019-03-14
selouisiana,centralarkansas,-170.0,145.0,3.5,0.6067,0.3933,sbro,2019-03-14
setonhall,georgetown,-170.0,145.0,3.5,0.6067,0.3933,sbro,2019-03-14
southernmiss,marshall,-145.0,125.0,2.5,0.5711,0.4289,sbro,2019-03-14
southflorida,connecticut,115.0,-135.0,136.5,0.4474,0.5526,sbro,2019-03-14
texastech,westvirginia,-1300.0,775.0,13.0,0.8904,0.1096,sbro,2019-03-14
texsanantonio,uab,-125.0,105.0,1.5,0.5325,0.4675,sbro,2019-03-14
toledo,noillinois,-280.0,230.0,6.5,0.7086,0.2914,sbro,2019-03-14
tulsa,southern_methodist,130.0,-150.0,140.0,0.4202,0.5798,sbro,2019-03-14
ullafayette,southalabama,-145.0,125.0,2.5,0.5711,0.4289,sbro,2019-03-14
utahstate,newmexico,-1400.0,800.0,13.0,0.8936,0.1064,sbro,2019-03-14
utahu,oregon,160.0,-190.0,136.5,0.3699,0.6301,sbro,2019-03-14
utahvalley,kansas_city,-550.0,400.0,9.5,0.8088,0.1912,sbro,2019-03-14
utriograndevalley,csbakersfield,-125.0,105.0,1.5,0.5325,0.4675,sbro,2019-03-14
villanova,providence,-280.0,230.0,6.5,0.7086,0.2914,sbro,2019-03-14
virginia,ncstate,-900.0,600.0,11.5,0.863,0.137,sbro,2019-03-14
washingtonu,southern_california,-250.0,200.0,5.0,0.6818,0.3182,sbro,2019-03-14
weberstate,portlandstate,-170.0,145.0,3.5,0.6067,0.3933,sbro,2019-03-14
westernkentucky,northtexas,-155.0,135.0,3.0,0.5882,0.4118,sbro,2019-03-14
wichitastate,eastcarolina,-800.0,550.0,11.5,0.8525,0.1475,sbro,2019-03-14
xavier,creighton,140.0,-160.0,142.0,0.4037,0.5963,sbro,2019-03-14
abilenechristian,selouisiana,-200.0,170.0,4.5,0.6429,0.3571,sbro,2019-03-15
arizonastate,oregon,130.0,-150.0,132.0,0.4202,0.5798,sbro,2019-03-15
