home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
duke,georgiatech,-450.0,325.0,8.5,0.7766,0.2234,sbro,2010-03-14
kentucky,mississippist,-340.0,270.0,7.0,0.7409,0.2591,sbro,2010-03-14
ohiostate,minnesotau,-190.0,160.0,4.0,0.6301,0.3699,sbro,2010-03-14
temple,richmond,-210.0,170.0,4.5,0.6465,0.3535,sbro,2010-03-14
arizonastate,jacksonville,-1500.0,1000.0,14.5,0.9116,0.0884,sbro,2010-03-16
connecticut,northeastern,-320.0,260.0,7.0,0.7328,0.2672,sbro,2010-03-16
creighton,southdakota,-1100.0,700.0,13.0,0.88,0.12,sbro,2010-03-16
georgemason,fairfield,-120.0,100.0,1.5,0.5217,0.4783,sbro,2010-03-16
geowashington,vacommonwealth,125.0,-145.0,142.0,0.4289,0.5711,sbro,2010-03-16
marshall,westerncarolina,-700.0,500.0,11.0,0.84,0.16,sbro,2010-03-16
mississippist,jacksonstate,-4000.0,2000.0,20.0,0.9535,0.0465,sbro,2010-03-16
northcarolina,william_mary,-485.0,385.0,9.0,0.8008,0.1992,sbro,2010-03-16
saintlouis,indianastate,-340.0,280.0,7.5,0.746,0.254,sbro,2010-03-16
setonhall,texastech,-440.0,350.0,9.0,0.7857,0.2143,sbro,2010-03-16
southflorida,ncstate,-165.0,145.0,3.0,0.604,0.396,sbro,2010-03-16
uab,coastalcarolina,-650.0,475.0,10.5,0.8329,0.1671,sbro,2010-03-16
winthrop,arkpinebluff,-170.0,150.0,3.5,0.6115,0.3885,sbro,2010-03-16
akron,wiscgreenbay,-300.0,250.0,7.0,0.7241,0.2759,sbro,2010-03-17
appalachianst,harvard,-135.0,115.0,2.0,0.5526,0.4474,sbro,2010-03-17
cincinnati,weberstate,-550.0,425.0,10.0,0.8163,0.1837,sbro,2010-03-17
dayton,illinoisstate,-340.0,280.0,7.5,0.746,0.254,sbro,2010-03-17
easternkentucky,collcharleston,-165.0,145.0,3.5,0.604,0.396,sbro,2010-03-17
hofstra,iupui,-160.0,140.0,3.0,0.5963,0.4037,sbro,2010-03-17
kentstate,tulsa,-215.0,178.0,5.0,0.6549,0.3451,sbro,2010-03-17
loyolamarymount,pacific,-103.0,-117.0,135.5,0.4848,0.5152,sbro,2010-03-17
memphisu,st_johns,-300.0,250.0,6.5,0.7241,0.2759,sbro,2010-03-17
mississippi,troy,-1200.0,775.0,13.0,0.8898,0.1102,sbro,2010-03-17
missourist,middletennst,-475.0,380.0,9.0,0.7986,0.2014,sbro,2010-03-17
moreheadstate,coloradostate,-420.0,335.0,8.5,0.7784,0.2216,sbro,2010-03-17
no_colorado,portlandu,100.0,-120.0,136.0,0.4783,0.5217,sbro,2010-03-17
oregonstate,bostonu,-320.0,260.0,7.5,0.7328,0.2672,sbro,2010-03-17
princeton,duquesne,-210.0,175.0,4.5,0.6507,0.3493,sbro,2010-03-17
rhodeisland,northwestern,-275.0,235.0,6.5,0.7107,0.2893,sbro,2010-03-17
stonybrook,illinois,245.0,-290.0,134.5,0.2805,0.7195,sbro,2010-03-17
virginiatech,quinnipiac,-1200.0,850.0,13.0,0.8976,0.1024,sbro,2010-03-17
wichitastate,nevada,-380.0,315.0,8.0,0.7667,0.2333,sbro,2010-03-17
baylor,samhouston,-550.0,425.0,10.0,0.8163,0.1837,sbro,2010-03-18
brigham_young,florida,-220.0,180.0,5.0,0.6581,0.3419,sbro,2010-03-18
butler,utep,-150.0,130.0,2.5,0.5798,0.4202,sbro,2010-03-18
georgetown,ohio,-1300.0,925.0,14.0,0.9049,0.0951,sbro,2010-03-18
kansas,lehigh,-25000.0,13000.0,25.0,0.9924,0.0076,sbro,2010-03-18
kansasstate,northtexas,-2200.0,1450.0,15.0,0.9368,0.0632,sbro,2010-03-18
kentucky,etennesseest,-6000.0,3500.0,18.5,0.9725,0.0275,sbro,2010-03-18
louisianatech,somississippi,-185.0,160.0,4.0,0.6279,0.3721,sbro,2010-03-18
marquette,washingtonu,-118.0,-102.0,1.0,0.5174,0.4826,sbro,2010-03-18
nevada_las_vegas,northerniowa,-117.0,-103.0,0.0,0.5152,0.4848,sbro,2010-03-18
newmexico,montana,-440.0,350.0,8.5,0.7857,0.2143,sbro,2010-03-18
notredame,olddominion,-135.0,115.0,2.0,0.5526,0.4474,sbro,2010-03-18
richmond,saintmarysca,-120.0,100.0,1.5,0.5217,0.4783,sbro,2010-03-18
tennessee,sandiegostate,-155.0,135.0,3.0,0.5882,0.4118,sbro,2010-03-18
texas,wakeforest,-245.0,205.0,5.5,0.6841,0.3159,sbro,2010-03-18
vanderbilt,murraystate,-145.0,125.0,2.5,0.5711,0.4289,sbro,2010-03-18
villanova,robertmorris,-3000.0,2000.0,16.5,0.9531,0.0469,sbro,2010-03-18
california,louisville,-118.0,-102.0,1.0,0.5174,0.4826,sbro,2010-03-19
clemson,missouri,-132.0,112.0,2.0,0.5467,0.4533,sbro,2010-03-19
duke,arkpinebluff,-20000.0,10500.0,24.5,0.9906,0.0094,sbro,2010-03-19
gonzaga,floridastate,-102.0,-118.0,132.5,0.4826,0.5174,sbro,2010-03-19
maryland,houstonu,-525.0,415.0,9.5,0.8122,0.1878,sbro,2010-03-19
michiganstate,newmexicostate,-1000.0,700.0,13.0,0.8791,0.1209,sbro,2010-03-19
mississippi,memphisu,-180.0,158.0,4.0,0.6239,0.3761,sbro,2010-03-19
ohiostate,calsantabarb,-3500.0,2250.0,17.5,0.9581,0.0419,sbro,2010-03-19
oklahomastate,georgiatech,-130.0,110.0,2.0,0.5427,0.4573,sbro,2010-03-19
pittsburgh,oakland,-525.0,415.0,9.5,0.8122,0.1878,sbro,2010-03-19
purdue,siena,-215.0,178.0,4.5,0.6549,0.3451,sbro,2010-03-19
syracuse,vermont,-2800.0,1800.0,15.5,0.9483,0.0517,sbro,2010-03-19
temple,cornell,-165.0,145.0,3.0,0.604,0.396,sbro,2010-03-19
texasa_m,utahstate,-158.0,138.0,3.0,0.5931,0.4069,sbro,2010-03-19
westvirginia,morganstate,-2700.0,1700.0,16.5,0.9455,0.0545,sbro,2010-03-19
wisconsin,wofford,-700.0,500.0,10.5,0.84,0.16,sbro,2010-03-19
xavier,minnesotau,-125.0,105.0,1.5,0.5325,0.4675,sbro,2010-03-19
baylor,olddominion,-205.0,173.0,4.5,0.6473,0.3527,sbro,2010-03-20
butler,murraystate,-190.0,165.0,4.5,0.6345,0.3655,sbro,2010-03-20
kansas,northerniowa,-800.0,600.0,11.0,0.8615,0.1385,sbro,2010-03-20
kansasstate,brigham_young,-200.0,170.0,4.5,0.6429,0.3571,sbro,2010-03-20
