home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
albanyny,stonybrook,-165.0,145.0,3.5,0.604,0.396,sbro,2015-03-14
arizona,oregon,-1035.0,735.0,12.5,0.8839,0.1161,sbro,2015-03-14
arkansas,georgia,-160.0,140.0,3.0,0.5963,0.4037,sbro,2015-03-14
calirvine,hawaii,-195.0,170.0,4.5,0.6409,0.3591,sbro,2015-03-14
centralmichigan,buffalo,135.0,-155.0,146.0,0.4118,0.5882,sbro,2015-03-14
davidson,vacommonwealth,-170.0,150.0,3.5,0.6115,0.3885,sbro,2015-03-14
dayton,rhodeisland,-130.0,110.0,1.5,0.5427,0.4573,sbro,2015-03-14
georgiasouthern,ulmonroe,-150.0,130.0,3.0,0.5798,0.4202,sbro,2015-03-14
georgiastate,ullafayette,-245.0,205.0,5.5,0.6841,0.3159,sbro,2015-03-14
hampton,delawarestate,105.0,-125.0,146.0,0.4675,0.5325,sbro,2015-03-14
harvard,yale,-145.0,125.0,2.5,0.5711,0.4289,sbro,2015-03-14
kansas,iowastate,-150.0,130.0,2.5,0.5798,0.4202,sbro,2015-03-14
kentucky,auburn,-16130.0,6130.0,24.0,0.9841,0.0159,sbro,2015-03-14
maryland,michiganstate,155.0,-180.0,131.0,0.3789,0.6211,sbro,2015-03-14
montana,e_washington,115.0,-135.0,147.5,0.4474,0.5526,sbro,2015-03-14
newmexicostate,seattleu,-480.0,375.0,9.0,0.7972,0.2028,sbro,2015-03-14
notredame,northcarolina,150.0,-170.0,150.5,0.3885,0.6115,sbro,2015-03-14
sandiegostate,wyoming,-275.0,225.0,6.0,0.7044,0.2956,sbro,2015-03-14
southern_methodist,temple,-185.0,160.0,4.0,0.6279,0.3721,sbro,2015-03-14
stephenf_austin,samhoustonst,-280.0,230.0,6.5,0.7086,0.2914,sbro,2015-03-14
texassouthern,southern,-270.0,220.0,6.0,0.7002,0.2998,sbro,2015-03-14
tulsa,connecticut,145.0,-165.0,120.5,0.396,0.604,sbro,2015-03-14
uab,middletennst,-135.0,115.0,2.0,0.5526,0.4474,sbro,2015-03-14
villanova,xavier,-370.0,300.0,7.5,0.759,0.241,sbro,2015-03-14
