home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
boisestate,washingtonu,-145.0,125.0,2.5,0.5711,0.4289,sbro,2018-03-14
campbell,miamiohio,-180.0,150.0,3.5,0.6164,0.3836,sbro,2018-03-14
canisius,jacksonvillest,-210.0,175.0,4.5,0.6507,0.3493,sbro,2018-03-14
easternmichigan,niagara,-425.0,325.0,8.5,0.7748,0.2252,sbro,2018-03-14
grandcanyon,mercer,-300.0,240.0,6.5,0.7183,0.2817,sbro,2018-03-14
illinoischicago,st_francispa,-220.0,180.0,5.0,0.6581,0.3419,sbro,2018-03-14
louisiana_state,ullafayette,-170.0,145.0,3.5,0.6067,0.3933,sbro,2018-03-14
marquette,harvard,-1100.0,700.0,12.5,0.88,0.12,sbro,2018-03-14
mississippist,nebraska,-200.0,170.0,4.5,0.6429,0.3571,sbro,2018-03-14
neworleansu,utriograndevalley,-160.0,140.0,3.0,0.5963,0.4037,sbro,2018-03-14
pennstate,temple,-550.0,400.0,9.5,0.8088,0.1912,sbro,2018-03-14
sanfrancisco,colgate,-310.0,250.0,7.0,0.7258,0.2742,sbro,2018-03-14
seattleu,centralarkansas,-280.0,230.0,6.0,0.7086,0.2914,sbro,2018-03-14
southdakota,northtexas,-850.0,575.0,11.5,0.8579,0.1421,sbro,2018-03-14
stanford,brigham_young,-150.0,130.0,3.0,0.5798,0.4202,sbro,2018-03-14
syracuse,arizonastate,100.0,-120.0,139.5,0.4783,0.5217,sbro,2018-03-14
texassouthern,nccentral,-220.0,180.0,4.5,0.6581,0.3419,sbro,2018-03-14
texsanantonio,lamar,-150.0,130.0,3.0,0.5798,0.4202,sbro,2018-03-14
utahu,ucdavis,-1100.0,700.0,12.5,0.88,0.12,sbro,2018-03-14
arizona,buffalo,-590.0,441.0,9.0,0.8223,0.1777,sbro,2018-03-15
austinpeay,ulmonroe,-220.0,184.0,5.0,0.6613,0.3387,sbro,2018-03-15
duke,iona,-500000.0,499980.0,21.0,0.9998,0.0002,sbro,2018-03-15
florida,st_bonaventure,-290.0,237.0,6.0,0.7148,0.2852,sbro,2018-03-15
gonzaga,ncgreensboro,-1000.0,664.0,12.5,0.8741,0.1259,sbro,2018-03-15
houstonu,sandiegostate,-205.0,172.0,4.0,0.6464,0.3536,sbro,2018-03-15
kansas,pennsylvania,-1450.0,857.0,13.5,0.8995,0.1005,sbro,2018-03-15
kentucky,davidson,-223.0,186.0,4.5,0.6638,0.3362,sbro,2018-03-15
miamiflorida,loyolachicago,-131.0,109.0,1.5,0.5424,0.4576,sbro,2018-03-15
michigan,montana,-611.0,454.0,10.0,0.8264,0.1736,sbro,2018-03-15
ohiostate,southdakotastate,-390.0,310.0,8.0,0.7654,0.2346,sbro,2018-03-15
rhodeisland,oklahoma,-127.0,107.0,1.5,0.5366,0.4634,sbro,2018-03-15
setonhall,ncstate,-173.0,150.0,3.5,0.613,0.387,sbro,2018-03-15
tennessee,wrightstate,-800.0,562.0,11.5,0.8547,0.1453,sbro,2018-03-15
texastech,stephenf_austin,-825.0,575.0,11.0,0.8576,0.1424,sbro,2018-03-15
villanova,radford,-7500.0,1781.0,22.5,0.9489,0.0511,sbro,2018-03-15
virginiatech,alabama,-155.0,135.0,2.5,0.5882,0.4118,sbro,2018-03-15
arkansas,butler,120.0,-140.0,150.5,0.438,0.562,sbro,2018-03-16
auburn,collcharleston,-432.0,339.0,9.5,0.7809,0.2191,sbro,2018-03-16
cincinnati,georgiastate,-1700.0,947.0,14.0,0.9082,0.0918,sbro,2018-03-16
clemson,newmexicostate,-178.0,153.0,3.5,0.6183,0.3817,sbro,2018-03-16
creighton,kansasstate,-138.0,119.0,2.5,0.5594,0.4406,sbro,2018-03-16
michiganstate,bucknell,-1600.0,912.0,14.5,0.905,0.095,sbro,2018-03-16
missouri,floridastate,100.0,-120.0,147.5,0.4783,0.5217,sbro,2018-03-16
nevada,texas,-115.0,-105.0,0.0,0.5108,0.4892,sbro,2018-03-16
northcarolina,lipscomb,-6500.0,2158.0,22.0,0.957,0.043,sbro,2018-03-16
purdue,csfullerton,-5500.0,2028.0,20.5,0.9543,0.0457,sbro,2018-03-16
tcu,syracuse,-200.0,170.0,4.5,0.6429,0.3571,sbro,2018-03-16
texasa_m,providence,-145.0,125.0,2.5,0.5711,0.4289,sbro,2018-03-16
virginia,mdbaltimoreco,-5500.0,2028.0,21.0,0.9543,0.0457,sbro,2018-03-16
westvirginia,murraystate,-600.0,447.0,10.0,0.8242,0.1758,sbro,2018-03-16
wichitastate,marshall,-1400.0,837.0,13.5,0.8974,0.1026,sbro,2018-03-16
