home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
alcornstate,prairieviewa_m,-105.0,-115.0,0.0,0.4892,0.5108,sbro,2013-03-14
arizona,colorado,-230.0,195.0,5.0,0.6728,0.3272,sbro,2013-03-14
bostoncollege,georgiatech,100.0,-120.0,126.0,0.4783,0.5217,sbro,2013-03-14
butler,dayton,-190.0,170.0,4.0,0.6389,0.3611,sbro,2013-03-14
california,utahu,-390.0,320.0,8.0,0.7697,0.2303,sbro,2013-03-14
calirvine,hawaii,-170.0,150.0,3.5,0.6115,0.3885,sbro,2013-03-14
calpolyslo,ucdavis,-170.0,150.0,3.5,0.6115,0.3885,sbro,2013-03-14
denveru,texasstate,-1900.0,1250.0,16.0,0.9277,0.0723,sbro,2013-03-14
floridastate,clemson,-130.0,110.0,1.5,0.5427,0.4573,sbro,2013-03-14
georgetown,cincinnati,-185.0,165.0,4.0,0.6324,0.3676,sbro,2013-03-14
georgia,louisiana_state,-125.0,105.0,1.5,0.5325,0.4675,sbro,2013-03-14
hampton,delawarestate,-130.0,110.0,1.5,0.5427,0.4573,sbro,2013-03-14
illinois,minnesotau,145.0,-165.0,126.5,0.396,0.604,sbro,2013-03-14
iowa,northwestern,-515.0,410.0,9.5,0.8103,0.1897,sbro,2013-03-14
jacksonstate,alabamastate,-175.0,155.0,3.5,0.6187,0.3813,sbro,2013-03-14
kansas,texastech,-10905.0,4005.0,20.0,0.976,0.024,sbro,2013-03-14
kansasstate,texas,-330.0,270.0,7.5,0.7396,0.2604,sbro,2013-03-14
kentstate,buffalo,-185.0,165.0,4.0,0.6324,0.3676,sbro,2013-03-14
longbeachstate,csfullerton,-350.0,290.0,7.5,0.7521,0.2479,sbro,2013-03-14
louisianatech,texsanantonio,-985.0,685.0,13.0,0.8769,0.1231,sbro,2013-03-14
louisville,villanova,-600.0,475.0,10.5,0.8313,0.1687,sbro,2013-03-14
marquette,notredame,-155.0,135.0,3.0,0.5882,0.4118,sbro,2013-03-14
maryland,wakeforest,-270.0,230.0,6.0,0.7066,0.2934,sbro,2013-03-14
massachusetts,geowashington,-195.0,175.0,4.0,0.6451,0.3549,sbro,2013-03-14
memphisu,tulane,-785.0,560.0,11.0,0.8541,0.1459,sbro,2013-03-14
michigan,pennstate,-1350.0,900.0,14.0,0.903,0.097,sbro,2013-03-14
missouri,texasa_m,-645.0,485.0,11.0,0.8351,0.1649,sbro,2013-03-14
montanastate,no_colorado,145.0,-165.0,142.5,0.396,0.604,sbro,2013-03-14
ncstate,virginiatech,-685.0,495.0,10.5,0.8385,0.1615,sbro,2013-03-14
newmexicostate,idahou,-270.0,230.0,5.5,0.7066,0.2934,sbro,2013-03-14
northdakota,southernutah,-155.0,135.0,3.0,0.5882,0.4118,sbro,2013-03-14
oklahoma,iowastate,115.0,-135.0,152.5,0.4474,0.5526,sbro,2013-03-14
oklahomastate,baylor,-165.0,145.0,2.5,0.604,0.396,sbro,2013-03-14
oralroberts,samhoustonst,-275.0,235.0,6.0,0.7107,0.2893,sbro,2013-03-14
oregon,washingtonu,-165.0,145.0,3.5,0.604,0.396,sbro,2013-03-14
pacific,calsantabarb,-230.0,195.0,5.0,0.6728,0.3272,sbro,2013-03-14
pittsburgh,syracuse,-130.0,110.0,2.0,0.5427,0.4573,sbro,2013-03-14
purdue,nebraska,-260.0,220.0,5.5,0.698,0.302,sbro,2013-03-14
richmond,charlotteu,-225.0,190.0,5.0,0.6675,0.3325,sbro,2013-03-14
savannahstate,morganstate,-110.0,-110.0,111.5,0.5,0.5,sbro,2013-03-14
selouisiana,mcneesestate,-105.0,-115.0,0.0,0.4892,0.5108,sbro,2013-03-14
southernmiss,uab,-330.0,270.0,7.0,0.7396,0.2604,sbro,2013-03-14
tennessee,mississippist,-1165.0,765.0,13.5,0.8885,0.1115,sbro,2013-03-14
tulsa,eastcarolina,100.0,-120.0,143.5,0.4783,0.5217,sbro,2013-03-14
ucla,arizonastate,-220.0,185.0,4.5,0.6621,0.3379,sbro,2013-03-14
utahstate,utarlington,-150.0,130.0,3.0,0.5798,0.4202,sbro,2013-03-14
utep,houstonu,-310.0,260.0,7.0,0.7313,0.2687,sbro,2013-03-14
vanderbilt,arkansas,155.0,-175.0,125.5,0.3813,0.6187,sbro,2013-03-14
weberstate,northernarizona,-1025.0,725.0,12.0,0.8826,0.1174,sbro,2013-03-14
westernmichigan,easternmichigan,-300.0,250.0,6.5,0.7241,0.2759,sbro,2013-03-14
xavier,st_josephs,105.0,-125.0,122.0,0.4675,0.5325,sbro,2013-03-14
akron,kentstate,-260.0,220.0,6.0,0.698,0.302,sbro,2013-03-15
alabama,tennessee,105.0,-125.0,118.5,0.4675,0.5325,sbro,2013-03-15
delawarestate,n_carolinaa_t,150.0,-170.0,115.0,0.3885,0.6115,sbro,2013-03-15
duke,maryland,-670.0,510.0,10.5,0.8415,0.1585,sbro,2013-03-15
florida,louisiana_state,-2100.0,1400.0,16.0,0.9347,0.0653,sbro,2013-03-15
georgetown,syracuse,-115.0,-105.0,1.0,0.5108,0.4892,sbro,2013-03-15
indianau,illinois,-650.0,490.0,10.0,0.8364,0.1636,sbro,2013-03-15
jacksonstate,prairieviewa_m,-135.0,115.0,2.5,0.5526,0.4474,sbro,2013-03-15
kansas,iowastate,-255.0,215.0,5.5,0.6935,0.3065,sbro,2013-03-15
kansasstate,oklahomastate,-135.0,115.0,1.5,0.5526,0.4474,sbro,2013-03-15
kentucky,vanderbilt,-255.0,215.0,5.5,0.6935,0.3065,sbro,2013-03-15
lasalle,butler,110.0,-130.0,132.5,0.4573,0.5427,sbro,2013-03-15
longbeachstate,calirvine,-125.0,105.0,1.5,0.5325,0.4675,sbro,2013-03-15
louisville,notredame,-430.0,350.0,8.5,0.785,0.215,sbro,2013-03-15
miamiflorida,bostoncollege,-530.0,425.0,10.0,0.8154,0.1846,sbro,2013-03-15
michiganstate,iowa,-285.0,245.0,6.0,0.7186,0.2814,sbro,2013-03-15
mississippi,missouri,175.0,-200.0,154.0,0.3529,0.6471,sbro,2013-03-15
montana,no_colorado,-375.0,315.0,8.0,0.7662,0.2338,sbro,2013-03-15
morganstate,bethunecookman,-180.0,160.0,4.0,0.6257,0.3743,sbro,2013-03-15
nevada_las_vegas,coloradostate,-195.0,170.0,4.0,0.6409,0.3591,sbro,2013-03-15
