home_team,away_team,moneyline_home,moneyline_away,spread,implied_prob_home,implied_prob_away,source,date
alabamastate,jacksonstate,-165.0,145.0,3.5,0.604,0.396,sbro,2009-03-14
binghamton,mdbaltimoreco,-285.0,243.0,6.5,0.7174,0.2826,sbro,2009-03-14
buffalo,akron,115.0,-135.0,122.5,0.4474,0.5526,sbro,2009-03-14
csnorthridge,pacific,105.0,-125.0,130.5,0.4675,0.5325,sbro,2009-03-14
duke,maryland,-450.0,360.0,9.0,0.7901,0.2099,sbro,2009-03-14
illinois,purdue,140.0,-160.0,118.5,0.4037,0.5963,sbro,2009-03-14
louisiana_state,mississippist,-175.0,155.0,4.0,0.6187,0.3813,sbro,2009-03-14
louisville,syracuse,-340.0,280.0,7.5,0.746,0.254,sbro,2009-03-14
memphisu,tulsa,-1500.0,1050.0,14.5,0.9151,0.0849,sbro,2009-03-14
michiganstate,ohiostate,-390.0,320.0,8.0,0.7697,0.2303,sbro,2009-03-14
missouri,baylor,-275.0,235.0,6.5,0.7107,0.2893,sbro,2009-03-14
morganstate,norfolkst,-600.0,450.0,10.5,0.825,0.175,sbro,2009-03-14
nevada,utahstate,-120.0,100.0,1.0,0.5217,0.4783,sbro,2009-03-14
northcarolina,floridastate,-440.0,350.0,9.0,0.7857,0.2143,sbro,2009-03-14
southern_california,arizonastate,105.0,-125.0,120.0,0.4675,0.5325,sbro,2009-03-14
temple,duquesne,-220.0,180.0,4.5,0.6581,0.3419,sbro,2009-03-14
tennessee,auburn,-185.0,160.0,4.5,0.6279,0.3721,sbro,2009-03-14
utahu,sandiegostate,-110.0,-110.0,0.0,0.5,0.5,sbro,2009-03-14
duke,floridastate,-275.0,235.0,6.5,0.7107,0.2893,sbro,2009-03-15
purdue,ohiostate,-260.0,220.0,5.5,0.698,0.302,sbro,2009-03-15
stephenaustin,texsanantonio,-350.0,290.0,7.5,0.7521,0.2479,sbro,2009-03-15
tennessee,mississippist,-240.0,200.0,6.0,0.6792,0.3208,sbro,2009-03-15
kentucky,nevada_las_vegas,-335.0,275.0,7.5,0.7428,0.2572,sbro,2009-03-17
liberty,rider,-155.0,135.0,3.0,0.5882,0.4118,sbro,2009-03-17
moreheadstate,alabamastate,-130.0,110.0,2.5,0.5427,0.4573,sbro,2009-03-17
nevada,utep,-118.0,114.0,1.5,0.5367,0.4633,sbro,2009-03-17
newmexico,nebraska,-340.0,280.0,7.5,0.746,0.254,sbro,2009-03-17
niagara,rhodeisland,-170.0,150.0,3.5,0.6115,0.3885,sbro,2009-03-17
notredame,uab,-245.0,205.0,6.0,0.6841,0.3159,sbro,2009-03-17
oakland,kentstate,-210.0,175.0,5.0,0.6507,0.3493,sbro,2009-03-17
pennstate,georgemason,-240.0,200.0,5.5,0.6792,0.3208,sbro,2009-03-17
saintmarysca,washingtonstate,-200.0,170.0,4.5,0.6429,0.3571,sbro,2009-03-17
sandiegostate,weberstate,-900.0,600.0,11.5,0.863,0.137,sbro,2009-03-17
southcarolina,davidson,-160.0,140.0,3.5,0.5963,0.4037,sbro,2009-03-17
wyoming,northeastern,-135.0,115.0,2.0,0.5526,0.4474,sbro,2009-03-17
auburn,tennmartin,-800.0,550.0,12.0,0.8525,0.1475,sbro,2009-03-18
baylor,georgetown,-160.0,140.0,3.0,0.5963,0.4037,sbro,2009-03-18
bradley,austinpeay,-460.0,365.0,9.0,0.7925,0.2075,sbro,2009-03-18
creighton,bowlinggreen,-950.0,625.0,12.5,0.8677,0.1323,sbro,2009-03-18
evansville,belmont,-235.0,195.0,5.0,0.6742,0.3258,sbro,2009-03-18
florida,jacksonville,-1350.0,950.0,14.5,0.9072,0.0928,sbro,2009-03-18
idahou,drake,-120.0,100.0,1.0,0.5217,0.4783,sbro,2009-03-18
jamesmadison,mountstmarys,-145.0,125.0,2.5,0.5711,0.4289,sbro,2009-03-18
kansasstate,illinoisstate,-340.0,280.0,7.0,0.746,0.254,sbro,2009-03-18
oregonstate,houstonu,100.0,-120.0,131.0,0.4783,0.5217,sbro,2009-03-18
pacific,portlandu,-205.0,173.0,4.5,0.6473,0.3527,sbro,2009-03-18
providence,miamiflorida,-150.0,130.0,2.5,0.5798,0.4202,sbro,2009-03-18
